date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-07-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.646373,104690499.25,1723.0,63588553.0
2020-07-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.642558,107988434.43,1756.0,65744042.0
2020-07-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.646499,110833838.85,1771.0,67314837.0
2020-07-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.657656,110341745.75,1778.0,66564918.0
2020-07-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.689568,115133643.44,1801.0,68143839.0
2020-07-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.704344,117755873.68,1834.0,69091626.0
2020-07-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.718476,118102362.23,1859.0,68725057.0
2020-07-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.746004,119023842.69,1927.0,68169298.0
2020-07-29,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.999045,40336.43,47.0,40375.0
2020-07-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.767599,128808304.64,1959.0,72871913.0
2020-07-30,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.001424,560627.17,78.0,559830.0
2020-07-30,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.806208,130350119.66,2022.0,72167837.0
2020-08-04,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.004887,867104.68,91.0,862888.0
2020-08-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.805886,133633024.74,2057.0,73998576.0
2020-08-05,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.969291,943796.82,119.0,973698.0
2020-08-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.817275,136602335.84,2095.0,75168794.0
2020-08-06,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.968656,1259683.35,138.0,1300444.0
2020-08-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.888338,137133453.42,2150.0,72621248.0
2020-08-07,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.917266,1330876.39,153.0,1450916.0
2020-08-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.945463,148535333.34,2255.0,76349615.0
2020-08-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.98122,165152253.35,2332.0,83358867.0
2020-08-10,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.948649,1975764.94,159.0,2082715.0
2020-08-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.960274,156643788.02,2350.0,79909148.0
2020-08-11,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.963072,2207248.32,173.0,2291883.0
2020-08-12,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.91116,152326201.23,2223.0,79703520.0
2020-08-12,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.976181,2510223.87,189.0,2571474.0
2020-08-13,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.857581,137228736.12,2172.0,73874966.0
2020-08-13,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.97722,3506272.61,213.0,3588008.0
2020-08-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.868657,127831489.25,2183.0,68408198.0
2020-08-14,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.965014,4631541.44,218.0,4799457.0
2020-08-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.885433,130669314.74,2220.0,69304667.0
